ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
2000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.8000000000000000e+01
0.0000000000000000e+00 2.8000000000000000e+01
0.0000000000000000e+00 2.8000000000000000e+01
ITEM: ATOMS mass type xs ys zs
55.845 1 0.7 0.5 0.1
55.845 1 0.75 0.45 0.05
55.845 1 0.85 0.45 0.05
55.845 1 0.75 0.55 0.05
55.845 1 0.8 0.5 0
55.845 1 0.85 0.55 0.05
55.845 1 0.8 0.5 0.1
55.845 1 0.95 0.45 0.05
55.845 1 0.9 0.5 0
55.845 1 0.95 0.55 0.05
55.845 1 0.9 0.5 0.1
55.845 1 0 0.6 0
55.845 1 0.05 0.65 0.05
55.845 1 0.1 0.6 0
55.845 1 0 0.7 0
55.845 1 0.1 0.7 0
55.845 1 0 0.6 0.1
55.845 1 0.1 0.6 0.1
55.845 1 0 0.7 0.1
55.845 1 0.1 0.7 0.1
55.845 1 0.15 0.65 0.05
55.845 1 0.2 0.6 0
55.845 1 0.25 0.65 0.05
55.845 1 0.2 0.7 0
55.845 1 0.2 0.6 0.1
55.845 1 0.2 0.7 0.1
55.845 1 0.3 0.6 0
55.845 1 0.35 0.65 0.05
55.845 1 0.4 0.6 0
55.845 1 0.3 0.7 0
55.845 1 0.4 0.7 0
55.845 1 0.3 0.6 0.1
55.845 1 0.4 0.6 0.1
55.845 1 0.3 0.7 0.1
55.845 1 0.4 0.7 0.1
55.845 1 0.45 0.65 0.05
55.845 1 0.5 0.6 0
55.845 1 0.55 0.65 0.05
55.845 1 0.5 0.7 0
55.845 1 0.5 0.6 0.1
55.845 1 0.5 0.7 0.1
55.845 1 0.6 0.6 0
55.845 1 0.65 0.65 0.05
55.845 1 0.7 0.6 0
55.845 1 0.6 0.7 0
55.845 1 0.7 0.7 0
55.845 1 0.6 0.6 0.1
55.845 1 0.7 0.6 0.1
55.845 1 0.6 0.7 0.1
55.845 1 0.7 0.7 0.1
55.845 1 0.75 0.65 0.05
55.845 1 0.8 0.6 0
55.845 1 0.85 0.65 0.05
55.845 1 0.8 0.7 0
55.845 1 0.8 0.6 0.1
55.845 1 0.8 0.7 0.1
55.845 1 0.9 0.6 0
55.845 1 0.95 0.65 0.05
55.845 1 0.9 0.7 0
55.845 1 0.9 0.6 0.1
55.845 1 0.9 0.7 0.1
55.845 1 0.05 0.75 0.05
55.845 1 0 0.8 0
55.845 1 0.05 0.85 0.05
55.845 1 0.1 0.8 0
55.845 1 0 0.8 0.1
55.845 1 0.1 0.8 0.1
55.845 1 0.15 0.75 0.05
55.845 1 0.25 0.75 0.05
55.845 1 0.15 0.85 0.05
55.845 1 0.2 0.8 0
55.845 1 0.25 0.85 0.05
55.845 1 0.2 0.8 0.1
55.845 1 0.35 0.75 0.05
55.845 1 0.3 0.8 0
55.845 1 0.35 0.85 0.05
55.845 1 0.4 0.8 0
55.845 1 0.3 0.8 0.1
55.845 1 0.4 0.8 0.1
55.845 1 0.45 0.75 0.05
55.845 1 0.55 0.75 0.05
55.845 1 0.45 0.85 0.05
55.845 1 0.5 0.8 0
55.845 1 0.55 0.85 0.05
55.845 1 0.5 0.8 0.1
55.845 1 0.65 0.75 0.05
55.845 1 0.6 0.8 0
55.845 1 0.65 0.85 0.05
55.845 1 0.7 0.8 0
55.845 1 0.6 0.8 0.1
55.845 1 0.7 0.8 0.1
55.845 1 0.75 0.75 0.05
55.845 1 0.85 0.75 0.05
55.845 1 0.75 0.85 0.05
55.845 1 0.8 0.8 0
55.845 1 0.85 0.85 0.05
55.845 1 0.8 0.8 0.1
55.845 1 0.95 0.75 0.05
55.845 1 0.9 0.8 0
55.845 1 0.95 0.85 0.05
55.845 1 0.9 0.8 0.1
55.845 1 0 0.9 0
55.845 1 0.05 0.95 0.05
55.845 1 0.1 0.9 0
55.845 1 0 0.9 0.1
55.845 1 0.1 0.9 0.1
55.845 1 0.15 0.95 0.05
55.845 1 0.2 0.9 0
55.845 1 0.25 0.95 0.05
55.845 1 0.2 0.9 0.1
55.845 1 0.3 0.9 0
55.845 1 0.35 0.95 0.05
55.845 1 0.4 0.9 0
55.845 1 0.3 0.9 0.1
55.845 1 0.4 0.9 0.1
55.845 1 0.45 0.95 0.05
55.845 1 0.5 0.9 0
55.845 1 0.55 0.95 0.05
55.845 1 0.5 0.9 0.1
55.845 1 0.6 0.9 0
55.845 1 0.65 0.95 0.05
55.845 1 0.7 0.9 0
55.845 1 0.6 0.9 0.1
55.845 1 0.7 0.9 0.1
55.845 1 0.75 0.95 0.05
55.845 1 0.8 0.9 0
55.845 1 0.85 0.95 0.05
55.845 1 0.8 0.9 0.1
55.845 1 0.9 0.9 0
55.845 1 0.95 0.95 0.05
55.845 1 0.9 0.9 0.1
55.845 1 0.05 0.05 0.15
55.845 1 0 0 0.2
55.845 1 0.05 0.05 0.25
55.845 1 0.1 0 0.2
55.845 1 0 0.1 0.2
55.845 1 0.1 0.1 0.2
55.845 1 0.15 0.05 0.15
55.845 1 0.25 0.05 0.15
55.845 1 0.15 0.05 0.25
55.845 1 0.2 0 0.2
55.845 1 0.25 0.05 0.25
55.845 1 0.2 0.1 0.2
55.845 1 0.35 0.05 0.15
55.845 1 0.3 0 0.2
55.845 1 0.35 0.05 0.25
55.845 1 0.4 0 0.2
55.845 1 0.3 0.1 0.2
55.845 1 0.4 0.1 0.2
55.845 1 0.45 0.05 0.15
55.845 1 0.55 0.05 0.15
55.845 1 0.45 0.05 0.25
55.845 1 0.5 0 0.2
55.845 1 0.55 0.05 0.25
55.845 1 0.5 0.1 0.2
55.845 1 0.65 0.05 0.15
55.845 1 0.6 0 0.2
55.845 1 0.65 0.05 0.25
55.845 1 0.7 0 0.2
55.845 1 0.6 0.1 0.2
55.845 1 0.7 0.1 0.2
55.845 1 0.75 0.05 0.15
55.845 1 0.85 0.05 0.15
55.845 1 0.75 0.05 0.25
55.845 1 0.8 0 0.2
55.845 1 0.85 0.05 0.25
55.845 1 0.8 0.1 0.2
55.845 1 0.95 0.05 0.15
55.845 1 0.9 0 0.2
55.845 1 0.95 0.05 0.25
55.845 1 0.9 0.1 0.2
55.845 1 0.05 0.15 0.15
55.845 1 0.05 0.25 0.15
55.845 1 0.05 0.15 0.25
55.845 1 0 0.2 0.2
55.845 1 0.05 0.25 0.25
55.845 1 0.1 0.2 0.2
55.845 1 0.15 0.15 0.15
55.845 1 0.25 0.15 0.15
55.845 1 0.15 0.25 0.15
55.845 1 0.25 0.25 0.15
55.845 1 0.15 0.15 0.25
55.845 1 0.25 0.15 0.25
55.845 1 0.15 0.25 0.25
55.845 1 0.2 0.2 0.2
55.845 1 0.25 0.25 0.25
55.845 1 0.35 0.15 0.15
55.845 1 0.35 0.25 0.15
55.845 1 0.35 0.15 0.25
55.845 1 0.3 0.2 0.2
55.845 1 0.35 0.25 0.25
55.845 1 0.4 0.2 0.2
55.845 1 0.45 0.15 0.15
55.845 1 0.55 0.15 0.15
55.845 1 0.45 0.25 0.15
55.845 1 0.55 0.25 0.15
55.845 1 0.45 0.15 0.25
55.845 1 0.55 0.15 0.25
55.845 1 0.45 0.25 0.25
55.845 1 0.5 0.2 0.2
55.845 1 0.55 0.25 0.25
55.845 1 0.65 0.15 0.15
55.845 1 0.65 0.25 0.15
55.845 1 0.65 0.15 0.25
55.845 1 0.6 0.2 0.2
55.845 1 0.65 0.25 0.25
55.845 1 0.7 0.2 0.2
55.845 1 0.75 0.15 0.15
55.845 1 0.85 0.15 0.15
55.845 1 0.75 0.25 0.15
55.845 1 0.85 0.25 0.15
55.845 1 0.75 0.15 0.25
55.845 1 0.85 0.15 0.25
55.845 1 0.75 0.25 0.25
55.845 1 0.8 0.2 0.2
55.845 1 0.85 0.25 0.25
55.845 1 0.95 0.15 0.15
55.845 1 0.95 0.25 0.15
55.845 1 0.95 0.15 0.25
55.845 1 0.9 0.2 0.2
55.845 1 0.95 0.25 0.25
55.845 1 0.05 0.35 0.15
55.845 1 0 0.3 0.2
55.845 1 0.05 0.35 0.25
55.845 1 0.1 0.3 0.2
55.845 1 0 0.4 0.2
55.845 1 0.1 0.4 0.2
55.845 1 0.15 0.35 0.15
55.845 1 0.25 0.35 0.15
55.845 1 0.15 0.35 0.25
55.845 1 0.2 0.3 0.2
55.845 1 0.25 0.35 0.25
55.845 1 0.2 0.4 0.2
55.845 1 0.35 0.35 0.15
55.845 1 0.3 0.3 0.2
55.845 1 0.35 0.35 0.25
55.845 1 0.4 0.3 0.2
55.845 1 0.3 0.4 0.2
55.845 1 0.4 0.4 0.2
55.845 1 0.45 0.35 0.15
55.845 1 0.55 0.35 0.15
55.845 1 0.45 0.35 0.25
55.845 1 0.5 0.3 0.2
55.845 1 0.55 0.35 0.25
55.845 1 0.5 0.4 0.2
55.845 1 0.65 0.35 0.15
55.845 1 0.6 0.3 0.2
55.845 1 0.65 0.35 0.25
55.845 1 0.7 0.3 0.2
55.845 1 0.6 0.4 0.2
55.845 1 0.7 0.4 0.2
55.845 1 0.75 0.35 0.15
55.845 1 0.85 0.35 0.15
55.845 1 0.75 0.35 0.25
55.845 1 0.8 0.3 0.2
55.845 1 0.85 0.35 0.25
55.845 1 0.8 0.4 0.2
55.845 1 0.95 0.35 0.15
55.845 1 0.9 0.3 0.2
55.845 1 0.95 0.35 0.25
55.845 1 0.9 0.4 0.2
55.845 1 0.05 0.45 0.15
55.845 1 0.05 0.55 0.15
55.845 1 0.05 0.45 0.25
55.845 1 0 0.5 0.2
55.845 1 0.05 0.55 0.25
55.845 1 0.1 0.5 0.2
55.845 1 0.15 0.45 0.15
55.845 1 0.25 0.45 0.15
55.845 1 0.15 0.55 0.15
55.845 1 0.25 0.55 0.15
55.845 1 0.15 0.45 0.25
55.845 1 0.25 0.45 0.25
55.845 1 0.15 0.55 0.25
55.845 1 0.2 0.5 0.2
55.845 1 0.25 0.55 0.25
55.845 1 0.35 0.45 0.15
55.845 1 0.35 0.55 0.15
55.845 1 0.35 0.45 0.25
55.845 1 0.3 0.5 0.2
55.845 1 0.35 0.55 0.25
55.845 1 0.4 0.5 0.2
55.845 1 0.45 0.45 0.15
55.845 1 0.55 0.45 0.15
55.845 1 0.45 0.55 0.15
55.845 1 0.55 0.55 0.15
55.845 1 0.45 0.45 0.25
55.845 1 0.55 0.45 0.25
55.845 1 0.45 0.55 0.25
55.845 1 0.5 0.5 0.2
55.845 1 0.55 0.55 0.25
55.845 1 0.65 0.45 0.15
55.845 1 0.65 0.55 0.15
55.845 1 0.65 0.45 0.25
55.845 1 0.6 0.5 0.2
55.845 1 0.65 0.55 0.25
55.845 1 0.7 0.5 0.2
55.845 1 0.75 0.45 0.15
55.845 1 0.85 0.45 0.15
55.845 1 0.75 0.55 0.15
55.845 1 0.85 0.55 0.15
55.845 1 0.75 0.45 0.25
55.845 1 0.85 0.45 0.25
55.845 1 0.75 0.55 0.25
55.845 1 0.8 0.5 0.2
55.845 1 0.85 0.55 0.25
55.845 1 0.95 0.45 0.15
55.845 1 0.95 0.55 0.15
55.845 1 0.95 0.45 0.25
55.845 1 0.9 0.5 0.2
55.845 1 0.95 0.55 0.25
55.845 1 0.05 0.65 0.15
55.845 1 0 0.6 0.2
55.845 1 0.05 0.65 0.25
55.845 1 0.1 0.6 0.2
55.845 1 0 0.7 0.2
55.845 1 0.1 0.7 0.2
55.845 1 0.15 0.65 0.15
55.845 1 0.25 0.65 0.15
55.845 1 0.15 0.65 0.25
55.845 1 0.2 0.6 0.2
55.845 1 0.25 0.65 0.25
55.845 1 0.2 0.7 0.2
55.845 1 0.35 0.65 0.15
55.845 1 0.3 0.6 0.2
55.845 1 0.35 0.65 0.25
55.845 1 0.4 0.6 0.2
55.845 1 0.3 0.7 0.2
55.845 1 0.4 0.7 0.2
55.845 1 0.45 0.65 0.15
55.845 1 0.55 0.65 0.15
55.845 1 0.45 0.65 0.25
55.845 1 0.5 0.6 0.2
55.845 1 0.55 0.65 0.25
55.845 1 0.5 0.7 0.2
55.845 1 0.65 0.65 0.15
55.845 1 0.6 0.6 0.2
55.845 1 0.65 0.65 0.25
55.845 1 0.7 0.6 0.2
55.845 1 0.6 0.7 0.2
55.845 1 0.7 0.7 0.2
55.845 1 0.75 0.65 0.15
55.845 1 0.85 0.65 0.15
55.845 1 0.75 0.65 0.25
55.845 1 0.8 0.6 0.2
55.845 1 0.85 0.65 0.25
55.845 1 0.8 0.7 0.2
55.845 1 0.95 0.65 0.15
55.845 1 0.9 0.6 0.2
55.845 1 0.95 0.65 0.25
55.845 1 0.9 0.7 0.2
55.845 1 0.05 0.75 0.15
55.845 1 0.05 0.85 0.15
55.845 1 0.05 0.75 0.25
55.845 1 0 0.8 0.2
55.845 1 0.05 0.85 0.25
55.845 1 0.1 0.8 0.2
55.845 1 0.15 0.75 0.15
55.845 1 0.25 0.75 0.15
55.845 1 0.15 0.85 0.15
55.845 1 0.25 0.85 0.15
55.845 1 0.15 0.75 0.25
55.845 1 0.25 0.75 0.25
55.845 1 0.15 0.85 0.25
55.845 1 0.2 0.8 0.2
55.845 1 0.25 0.85 0.25
55.845 1 0.35 0.75 0.15
55.845 1 0.35 0.85 0.15
55.845 1 0.35 0.75 0.25
55.845 1 0.3 0.8 0.2
55.845 1 0.35 0.85 0.25
55.845 1 0.4 0.8 0.2
55.845 1 0.45 0.75 0.15
55.845 1 0.55 0.75 0.15
55.845 1 0.45 0.85 0.15
55.845 1 0.55 0.85 0.15
55.845 1 0.45 0.75 0.25
55.845 1 0.55 0.75 0.25
55.845 1 0.45 0.85 0.25
55.845 1 0.5 0.8 0.2
55.845 1 0.55 0.85 0.25
55.845 1 0.65 0.75 0.15
55.845 1 0.65 0.85 0.15
55.845 1 0.65 0.75 0.25
55.845 1 0.6 0.8 0.2
55.845 1 0.65 0.85 0.25
55.845 1 0.7 0.8 0.2
55.845 1 0.75 0.75 0.15
55.845 1 0.85 0.75 0.15
55.845 1 0.75 0.85 0.15
55.845 1 0.85 0.85 0.15
55.845 1 0.75 0.75 0.25
55.845 1 0.85 0.75 0.25
55.845 1 0.75 0.85 0.25
55.845 1 0.8 0.8 0.2
55.845 1 0.85 0.85 0.25
55.845 1 0.95 0.75 0.15
55.845 1 0.95 0.85 0.15
55.845 1 0.95 0.75 0.25
55.845 1 0.9 0.8 0.2
55.845 1 0.95 0.85 0.25
55.845 1 0.05 0.95 0.15
55.845 1 0 0.9 0.2
55.845 1 0.05 0.95 0.25
55.845 1 0.1 0.9 0.2
55.845 1 0.15 0.95 0.15
55.845 1 0.25 0.95 0.15
55.845 1 0.15 0.95 0.25
55.845 1 0.2 0.9 0.2
55.845 1 0.25 0.95 0.25
55.845 1 0.35 0.95 0.15
55.845 1 0.3 0.9 0.2
55.845 1 0.35 0.95 0.25
55.845 1 0.4 0.9 0.2
55.845 1 0.45 0.95 0.15
55.845 1 0.55 0.95 0.15
55.845 1 0.45 0.95 0.25
55.845 1 0.5 0.9 0.2
55.845 1 0.55 0.95 0.25
55.845 1 0.65 0.95 0.15
55.845 1 0.6 0.9 0.2
55.845 1 0.65 0.95 0.25
55.845 1 0.7 0.9 0.2
55.845 1 0.75 0.95 0.15
55.845 1 0.85 0.95 0.15
55.845 1 0.75 0.95 0.25
55.845 1 0.8 0.9 0.2
55.845 1 0.85 0.95 0.25
55.845 1 0.95 0.95 0.15
55.845 1 0.9 0.9 0.2
55.845 1 0.95 0.95 0.25
55.845 1 0 0 0.3
55.845 1 0.05 0.05 0.35
55.845 1 0.1 0 0.3
55.845 1 0 0.1 0.3
55.845 1 0.1 0.1 0.3
55.845 1 0 0 0.4
55.845 1 0.1 0 0.4
55.845 1 0 0.1 0.4
55.845 1 0.1 0.1 0.4
55.845 1 0.15 0.05 0.35
55.845 1 0.2 0 0.3
55.845 1 0.25 0.05 0.35
55.845 1 0.2 0.1 0.3
55.845 1 0.2 0 0.4
55.845 1 0.2 0.1 0.4
55.845 1 0.3 0 0.3
55.845 1 0.35 0.05 0.35
55.845 1 0.4 0 0.3
55.845 1 0.3 0.1 0.3
55.845 1 0.4 0.1 0.3
55.845 1 0.3 0 0.4
55.845 1 0.4 0 0.4
55.845 1 0.3 0.1 0.4
55.845 1 0.4 0.1 0.4
55.845 1 0.45 0.05 0.35
55.845 1 0.5 0 0.3
55.845 1 0.55 0.05 0.35
55.845 1 0.5 0.1 0.3
55.845 1 0.5 0 0.4
55.845 1 0.5 0.1 0.4
55.845 1 0.6 0 0.3
55.845 1 0.65 0.05 0.35
55.845 1 0.7 0 0.3
55.845 1 0.6 0.1 0.3
55.845 1 0.7 0.1 0.3
55.845 1 0.6 0 0.4
55.845 1 0.7 0 0.4
55.845 1 0.6 0.1 0.4
55.845 1 0.7 0.1 0.4
55.845 1 0.75 0.05 0.35
55.845 1 0.8 0 0.3
55.845 1 0.85 0.05 0.35
55.845 1 0.8 0.1 0.3
55.845 1 0.8 0 0.4
55.845 1 0.8 0.1 0.4
55.845 1 0.9 0 0.3
55.845 1 0.95 0.05 0.35
55.845 1 0.9 0.1 0.3
55.845 1 0.9 0 0.4
55.845 1 0.9 0.1 0.4
55.845 1 0.05 0.15 0.35
55.845 1 0 0.2 0.3
55.845 1 0.05 0.25 0.35
55.845 1 0.1 0.2 0.3
55.845 1 0 0.2 0.4
55.845 1 0.1 0.2 0.4
55.845 1 0.15 0.15 0.35
55.845 1 0.25 0.15 0.35
55.845 1 0.15 0.25 0.35
55.845 1 0.2 0.2 0.3
55.845 1 0.25 0.25 0.35
55.845 1 0.2 0.2 0.4
55.845 1 0.35 0.15 0.35
55.845 1 0.3 0.2 0.3
55.845 1 0.35 0.25 0.35
55.845 1 0.4 0.2 0.3
55.845 1 0.3 0.2 0.4
55.845 1 0.4 0.2 0.4
55.845 1 0.45 0.15 0.35
55.845 1 0.55 0.15 0.35
55.845 1 0.45 0.25 0.35
55.845 1 0.5 0.2 0.3
55.845 1 0.55 0.25 0.35
55.845 1 0.5 0.2 0.4
55.845 1 0.65 0.15 0.35
55.845 1 0.6 0.2 0.3
55.845 1 0.65 0.25 0.35
55.845 1 0.7 0.2 0.3
55.845 1 0.6 0.2 0.4
55.845 1 0.7 0.2 0.4
55.845 1 0.75 0.15 0.35
55.845 1 0.85 0.15 0.35
55.845 1 0.75 0.25 0.35
55.845 1 0.8 0.2 0.3
55.845 1 0.85 0.25 0.35
55.845 1 0.8 0.2 0.4
55.845 1 0.95 0.15 0.35
55.845 1 0.9 0.2 0.3
55.845 1 0.95 0.25 0.35
55.845 1 0.9 0.2 0.4
55.845 1 0 0.3 0.3
55.845 1 0.05 0.35 0.35
55.845 1 0.1 0.3 0.3
55.845 1 0 0.4 0.3
55.845 1 0.1 0.4 0.3
55.845 1 0 0.3 0.4
55.845 1 0.1 0.3 0.4
55.845 1 0 0.4 0.4
55.845 1 0.1 0.4 0.4
55.845 1 0.15 0.35 0.35
55.845 1 0.2 0.3 0.3
55.845 1 0.25 0.35 0.35
55.845 1 0.2 0.4 0.3
55.845 1 0.2 0.3 0.4
55.845 1 0.2 0.4 0.4
55.845 1 0.3 0.3 0.3
55.845 1 0.35 0.35 0.35
55.845 1 0.4 0.3 0.3
55.845 1 0.3 0.4 0.3
55.845 1 0.4 0.4 0.3
55.845 1 0.3 0.3 0.4
55.845 1 0.4 0.3 0.4
55.845 1 0.3 0.4 0.4
55.845 1 0.4 0.4 0.4
55.845 1 0.45 0.35 0.35
55.845 1 0.5 0.3 0.3
55.845 1 0.55 0.35 0.35
55.845 1 0.5 0.4 0.3
55.845 1 0.5 0.3 0.4
55.845 1 0.5 0.4 0.4
55.845 1 0.6 0.3 0.3
55.845 1 0.65 0.35 0.35
55.845 1 0.7 0.3 0.3
55.845 1 0.6 0.4 0.3
55.845 1 0.7 0.4 0.3
55.845 1 0.6 0.3 0.4
55.845 1 0.7 0.3 0.4
55.845 1 0.6 0.4 0.4
55.845 1 0.7 0.4 0.4
55.845 1 0.75 0.35 0.35
55.845 1 0.8 0.3 0.3
55.845 1 0.85 0.35 0.35
55.845 1 0.8 0.4 0.3
55.845 1 0.8 0.3 0.4
55.845 1 0.8 0.4 0.4
55.845 1 0.9 0.3 0.3
55.845 1 0.95 0.35 0.35
55.845 1 0.9 0.4 0.3
55.845 1 0.9 0.3 0.4
55.845 1 0.9 0.4 0.4
55.845 1 0.05 0.45 0.35
55.845 1 0 0.5 0.3
55.845 1 0.05 0.55 0.35
55.845 1 0.1 0.5 0.3
55.845 1 0 0.5 0.4
55.845 1 0.1 0.5 0.4
55.845 1 0.15 0.45 0.35
55.845 1 0.25 0.45 0.35
55.845 1 0.15 0.55 0.35
55.845 1 0.2 0.5 0.3
55.845 1 0.25 0.55 0.35
55.845 1 0.2 0.5 0.4
55.845 1 0.35 0.45 0.35
55.845 1 0.3 0.5 0.3
55.845 1 0.35 0.55 0.35
55.845 1 0.4 0.5 0.3
55.845 1 0.3 0.5 0.4
55.845 1 0.4 0.5 0.4
55.845 1 0.45 0.45 0.35
55.845 1 0.55 0.45 0.35
55.845 1 0.45 0.55 0.35
55.845 1 0.5 0.5 0.3
55.845 1 0.55 0.55 0.35
55.845 1 0.5 0.5 0.4
55.845 1 0.65 0.45 0.35
55.845 1 0.6 0.5 0.3
55.845 1 0.65 0.55 0.35
55.845 1 0.7 0.5 0.3
55.845 1 0.6 0.5 0.4
55.845 1 0.7 0.5 0.4
55.845 1 0.75 0.45 0.35
55.845 1 0.85 0.45 0.35
55.845 1 0.75 0.55 0.35
55.845 1 0.8 0.5 0.3
55.845 1 0.85 0.55 0.35
55.845 1 0.8 0.5 0.4
55.845 1 0.95 0.45 0.35
55.845 1 0.9 0.5 0.3
55.845 1 0.95 0.55 0.35
55.845 1 0.9 0.5 0.4
55.845 1 0 0.6 0.3
55.845 1 0.05 0.65 0.35
